127.0.0.1 - - [30/Dec/2022:20:20:42 +0200] "GET / HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:20:44 +0200] "GET /web-market/ HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:20:45 +0200] "GET /favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:20:49 +0200] "GET /web-market/imagesanddesc HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:09 +0200] "GET /web-market/successful_added_image HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:10 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 32331
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:10 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 222936
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:10 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:53 +0200] "GET /web-market/successful_added_image HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:54 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 32331
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:54 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 222936
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:21:54 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:22:52 +0200] "GET /web-market/successful_added_image HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:22:52 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 32331
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:22:52 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:22:53 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 222936
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:23:27 +0200] "GET /web-market/successful_added_image HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:23:27 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 32331
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:23:28 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [30/Dec/2022:20:23:28 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 222936
