127.0.0.1 - - [10/Feb/2023:19:52:30 +0200] "GET / HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:33 +0200] "GET /web-market/ HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:33 +0200] "GET /web-market/resources/static/css/navbar.css HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:34 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:34 +0200] "GET /favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/about HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/resources/static/css/pagination.css HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/resources/static/css/cartNotification.css HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/resources/static/js/stickyNavbar.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/resources/static/css/productTable.css HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:39 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:41 +0200] "GET /web-market/contact HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:41 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:47 +0200] "GET /web-market/userCabinet HTTP/1.1" 500 3770
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:53 +0200] "GET /web-market/shopping_cart HTTP/1.1" 500 7303
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:56 +0200] "GET /web-market/products?size=10&page=1 HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:52:57 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:02 +0200] "GET /web-market/contact HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:02 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:03 +0200] "GET /web-market/userCabinet HTTP/1.1" 500 3770
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:14 +0200] "GET /web-market/ HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:14 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:16 +0200] "GET /web-market/ HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:16 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:26 +0200] "POST /web-market/products?size=10&page=1 HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:27 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:27 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:27 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:27 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:27 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:28 +0200] "GET /web-market/userCabinet HTTP/1.1" 200 3132
